生化学::02 糖代謝	解糖系（Glycolysis）が起こる細胞内の場所と主な臓器は？	細胞質／全身の組織（すべての細胞で起こる）	酸素がなくても進む	糖代謝,解糖系
生化学::02 糖代謝	解糖系の目的と律速酵素は？	目的：ATP 産生（エネルギー供給）　律速酵素：PFK-1（ホスホフルクトキナーゼ-1）	最重要の律速酵素	糖代謝,解糖系,頻出
生化学::02 糖代謝	解糖系の ATP 収支と産物は？	正味 ATP 2分子 ＋ NADH 2分子　最終産物：ピルビン酸	嫌気下では乳酸へ	糖代謝,解糖系
生化学::02 糖代謝	解糖系を促進する因子と抑制する因子は？	促進：インスリン　抑制：グルカゴン	血糖を下げる方向＝解糖系	糖代謝,解糖系,ホルモン
生化学::02 糖代謝	糖新生（Gluconeogenesis）が起こる場所と主な臓器は？	細胞質＋ミトコンドリア／肝臓・腎臓	肝腎だけが血糖を作れる	糖代謝,糖新生
生化学::02 糖代謝	糖新生の目的と律速酵素は？	目的：血糖維持のためにグルコースを合成　律速酵素：FBPase-1（フルクトース1,6-ビスホスファターゼ）	解糖系の PFK-1 と逆の関係	糖代謝,糖新生,頻出
生化学::02 糖代謝	糖新生のエネルギー収支は？	ATP 4分子 ＋ GTP 2分子を消費（合計 6 高エネルギーリン酸を消費）	作るのにコストがかかる	糖代謝,糖新生
生化学::02 糖代謝	糖新生を促進する因子と抑制する因子は？	促進：グルカゴン、コルチゾール　抑制：インスリン	空腹時に働く	糖代謝,糖新生,ホルモン
生化学::02 糖代謝	グリコーゲン合成が起こる場所と主な臓器は？	細胞質／肝臓・骨格筋	肝は血糖用、筋は自分用	糖代謝,グリコーゲン
生化学::02 糖代謝	グリコーゲン合成の律速酵素と消費するヌクレオチドは？	律速酵素：グリコーゲンシンターゼ　UTP を消費（UDP-グルコースを経由）	促進：インスリン、抑制：グルカゴン	糖代謝,グリコーゲン,頻出
生化学::02 糖代謝	グリコーゲン分解が起こる場所と律速酵素は？	細胞質（肝ではリソソームも関与）／律速酵素：グリコーゲンホスホリラーゼ	促進：グルカゴン・アドレナリン、抑制：インスリン	糖代謝,グリコーゲン,頻出
生化学::02 糖代謝	グリコーゲン分解の直接の産物は？	グルコース-1-リン酸（肝では最終的にグルコースになり血中へ）	筋には G6Pase がないので血糖にできない	糖代謝,グリコーゲン,頻出
生化学::02 糖代謝	ペントースリン酸経路（PPP・HMP経路）が起こる場所と主な臓器は？	細胞質／肝臓・脂肪組織・副腎・赤血球など	ATP は直接産生しない	糖代謝,PPP
生化学::02 糖代謝	ペントースリン酸経路の目的と律速酵素は？	目的：NADPH とリボース5-リン酸の産生　律速酵素：G6PD（グルコース-6-リン酸脱水素酵素）	NADPH＝還元力、リボース＝核酸材料	糖代謝,PPP,頻出
生化学::02 糖代謝	NADPH は何に使われるか？	脂肪酸・ステロイド合成、抗酸化（グルタチオン還元）、好中球の活性酸素産生	G6PD 欠損で溶血性貧血	糖代謝,PPP
生化学::02 糖代謝	TCA 回路（クエン酸回路）が起こる場所と律速酵素は？	ミトコンドリアマトリックス／律速酵素：イソクエン酸デヒドロゲナーゼ	ほぼすべての細胞（成熟赤血球を除く）	糖代謝,TCA,頻出
生化学::02 糖代謝	TCA 回路 1 回転で得られる高エネルギー化合物は？	GTP 1分子、NADH 3分子、FADH2 1分子（約 10 ATP 相当）　産物：CO2	電子伝達系へ還元当量を供給	糖代謝,TCA
生化学::02 糖代謝	TCA 回路を促進する因子と抑制する因子は？	促進：ADP・Ca2+　抑制：ATP・NADH	エネルギーが足りないと回る	糖代謝,TCA
生化学::02 糖代謝	インスリンは解糖系・糖新生・グリコーゲン合成・グリコーゲン分解にどう働くか？	解糖系 ↑／糖新生 ↓／グリコーゲン合成 ↑／グリコーゲン分解 ↓	血糖を下げる方向にすべて働く	糖代謝,ホルモン,頻出
生化学::02 糖代謝	グルカゴンは解糖系・糖新生・グリコーゲン合成・グリコーゲン分解にどう働くか？	解糖系 ↓／糖新生 ↑／グリコーゲン合成 ↓／グリコーゲン分解 ↑	血糖を上げる方向	糖代謝,ホルモン,頻出
生化学::02 糖代謝	アドレナリンは解糖系・糖新生・グリコーゲン合成・グリコーゲン分解にどう働くか？	解糖系 ↓／糖新生 ↑／グリコーゲン合成 ↓／グリコーゲン分解 ↑	グルカゴンと同じ方向	糖代謝,ホルモン
生化学::02 糖代謝	律速酵素をまとめよ：解糖系・糖新生・グリコーゲン合成・グリコーゲン分解・PPP・TCA 回路	解糖系＝PFK-1／糖新生＝FBPase-1／グリコーゲン合成＝グリコーゲンシンターゼ／グリコーゲン分解＝グリコーゲンホスホリラーゼ／PPP＝G6PD／TCA＝イソクエン酸デヒドロゲナーゼ	最頻出のまとめ	糖代謝,まとめ,頻出
生化学::02 糖代謝	ミトコンドリアで起こる糖代謝経路はどれか？	TCA 回路（マトリックス）と、糖新生の一部（ピルビン酸カルボキシラーゼの反応）	解糖系・グリコーゲン代謝・PPP は細胞質	糖代謝,まとめ,頻出
生化学::02 糖代謝	糖代謝 6 大経路を一文でまとめると？	「解糖系で供給、グリコーゲンで貯蔵、PPP で還元力、TCA で大量エネルギー」	糖新生は空腹時の血糖維持	糖代謝,まとめ
生化学::02 糖代謝	成熟赤血球で働かない代謝経路は？	TCA 回路・電子伝達系（ミトコンドリアを持たないため）。解糖系と PPP は働く	だから乳酸を産生する	糖代謝,まとめ,頻出
