解剖学::01 脳神経	第Ⅰ脳神経の名称と機能は？	嗅神経（olfactory nerve）／嗅覚	特殊感覚	脳神経,総論
解剖学::01 脳神経	嗅神経（Ⅰ）の出入口は？	出：嗅球　入：嗅上皮（鼻腔天蓋部）	篩板を貫く	脳神経,出入口
解剖学::01 脳神経	嗅神経（Ⅰ）が障害されると？	嗅覚障害（嗅覚低下・嗅覚脱失）	頭部外傷・篩板骨折で生じる	脳神経,障害
解剖学::01 脳神経	第Ⅱ脳神経の名称と機能は？	視神経（optic nerve）／視覚	特殊感覚	脳神経,総論
解剖学::01 脳神経	視神経（Ⅱ）の出入口は？	出：視神経管　入：網膜（視細胞）	視神経管を通る	脳神経,出入口
解剖学::01 脳神経	視神経（Ⅱ）が障害されると？	視力低下・視野欠損・失明	障害部位で視野異常のパターンが変わる	脳神経,障害
解剖学::01 脳神経	第Ⅲ脳神経の名称と機能は？	動眼神経（oculomotor nerve）／眼球運動（上転・下転・内転）、上眼瞼挙上、調節、瞳孔縮小	副交感線維を含む	脳神経,総論
解剖学::01 脳神経	動眼神経（Ⅲ）の出入口は？	出：中脳（大脳脚内側）　入：上眼窩裂	中脳から出る	脳神経,出入口
解剖学::01 脳神経	動眼神経（Ⅲ）が支配する筋は？	上直筋・下直筋・内直筋・下斜筋 ＋ 上眼瞼挙筋・毛様体筋（＋瞳孔括約筋）	上斜筋（Ⅳ）と外直筋（Ⅵ）以外の外眼筋	脳神経,支配
解剖学::01 脳神経	動眼神経（Ⅲ）麻痺の症状は？	眼瞼下垂・外斜視（眼球は「外下方」を向く）・散瞳・調節障害・複視	外下方偏位が特徴	脳神経,障害
解剖学::01 脳神経	第Ⅳ脳神経の名称と機能は？	滑車神経（trochlear nerve）／眼球の下転・内転（上斜筋）	最も細く、唯一背側から出る	脳神経,総論
解剖学::01 脳神経	滑車神経（Ⅳ）の出入口は？	出：中脳（下丘レベルの背側）　入：上眼窩裂	脳幹背側から出る唯一の脳神経	脳神経,出入口
